Name,Inventory URL
AgriCorp,http://www.agricorp.com/SiteCollectionDocuments/Agricorp-OpenDataInventory-en.csv
Agricultural Research Institute of Ontario,http://www.omafra.gov.on.ca/english/research/ario/ariodata.htm
"Agriculture, Food and Rural Affairs Appeal Tribunal",http://www.omafra.gov.on.ca/english/tribunal/datainventory.htm
Alcohol and Gaming Commission of Ontario,http://www.agco.on.ca/about-agco/open-data/data-inventory
Animal Care Review Board,http://www.slasto.gov.on.ca/en/documents/DataInv_english.csv
Assessment Review Board,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Board of Negotiation,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Board of Negotiation (Environmental Protection Act),http://www.omafra.gov.on.ca/english/tribunal/datainventory.htm
Cancer Care Ontario,https://www.cancercare.on.ca/sites/CCOHealth/files/assets/CCOOpenData_0.csv,https://www.cancercare.on.ca/sites/CCOHealth/files/assets/CCOOpenData-FR.csv
Centennial Centre of Science and Technology (Ontario Science Centre),https://www.ontariosciencecentre.ca/Uploads/AboutUs/documents/Data_Inventory_Inventaire_des_donnees.xlsx
Child and Family Services Review Board,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Consent and Capacity Board,http://www.ccboard.on.ca/scripts/english/accountability/Data_Inventory_July_25_2016_391_W_EN_FINAL.pdf
Conservation Review Board,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Criminal Injuries Compensation Board,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Crown Employees (Grievance Settlement Board),http://www.psab.gov.on.ca/english/gsb/pdf/gsb_open_data_posting_june_30_2016.pdf
Custody Review Board,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Deposit Insurance Corporation of Ontario,https://www.dico.com/Design/AccountabilityPage/Data_Inventory_English_DICO_July_2016.pdf
Education Quality and Accountability Office,http://www.eqao.com/en/research/data-portal
eHealth Ontario,https://www.ehealthontario.on.ca/images/uploads/pages/documents/eHealth_Ontario_Data_Inventory.xls
Environment and Land Tribunal Ontario,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Environmental Review Tribunal,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Financial Services Commission of Ontario,https://www.fsco.gov.on.ca/en/open-data/Pages/default.aspx
Financial Services Tribunal,http://fstontario.ca/en/Pages/open-data.aspx
Fire Safety Commission,http://www.slasto.gov.on.ca/en/documents/DataInv_english.csv
Health Professions Appeal and Review Board,http://www.hparb.on.ca/scripts/english/open/
Health Services Appeal and Review Board,http://www.hsarb.on.ca/scripts/english/open/
HealthForceOntario Marketing and Recruitment Agency,http://www.healthforceontario.ca/UserFiles/file/Open/HFO%20MRA%20Data%20Inventory%20EN.csv
Higher Education Quality Council of Ontario,http://www.heqco.ca/en-ca/About Us/Pages/OpenData.aspx
Human Rights Legal Support Centre,http://www.hrlsc.on.ca/sites/default/files/docs/en/Open-Data/HRLSC%20Data%20Inventory%20CSV%20Final%20%28English%29%20Web%20Site%20Version.csv
Human Rights Tribunal of Ontario,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Landlord and Tenant Board,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Legal Aid Ontario,http://www.legalaid.on.ca/en/publications/downloads/opendata_inventory.csv
Licence Appeal Tribunal,http://www.slasto.gov.on.ca/en/documents/DataInv_english.csv
Liquor Control Board of Ontario,http://www.lcbo.com/content/dam/lcbo/corporate-pages/about/pdf/LCBO_Open_Data_Inventory.csv
Local Health Integration Network – North East,http://www.nelhin.on.ca/~/media/sites/ne/Accountability/opendata/NE LHIN Data Inventory_October 2016.xlsx?la=en
Local Health Integration Network – Central,http://www.centrallhin.on.ca/~/media/sites/central/Primary Navigation/Accountability/Open Data/CENT LHIN Open Data Inventory_Bilingual_OCT 2016.xlsx?la=en
Local Health Integration Network – Central East,http://www.centraleastlhin.on.ca/~/media/sites/ce/Primary Navigation/Accountability/Open Data Directive Reports/Copy of CE_LHIN_Open_Data_Inventory_OCT_2016_FINAL_EN.pdf?la=en
Local Health Integration Network – Champlain,http://www.champlainlhin.on.ca/~/media/sites/champlain/Accountability/20161111OpenDataDirEN.xlsx?la=en
Local Health Integration Network – Erie St.Clair,http://www.eriestclairlhin.on.ca/~/media/sites/esc/Accountability/Open Data Directive/ESC LHIN Data Inventory_OCT 2016.xlsx?la=en
Local Health Integration Network – Hamilton Niagara Haldimand Brant,http://www.hnhblhin.on.ca/~/media/sites/hnhb/Accountability/Open Data/APPROVED FINAL FOR POSTING - ENG and FR.xlsx?la=en
Local Health Integration Network – Mississauga Halton,http://www.mississaugahaltonlhin.on.ca/~/media/sites/mh/Primary Navigation/Accountability/Open Data/MH LHIN Open Data Consolidated 20160926-Final.xlsx?la=en
Local Health Integration Network – North Simcoe Muskoka,http://www.nsmlhin.on.ca/~/media/sites/nsm/PrimaryNavigation/Accountability/NSM Data Inventory Oct16Bi.xlsx?la=en
Local Health Integration Network – North West Ontario,http://www.northwestlhin.on.ca/~/media/sites/nw/Accountability/Open Data/North_West_LHIN_Data_Inventory.xlsx?la=en
Local Health Integration Network – South East,http://www.southeastlhin.on.ca/~/media/sites/se/UploadedFiles/OpenDataDirective/South East LHIN Data Inventory En_Fr.csv?la=en
Local Health Integration Network – South West,http://www.southwestlhin.on.ca/~/media/sites/sw/PDF/OpenData/SouthWestLHINData Inventory_OCT2016.xlsx?la=en
Local Health Integration Network – Toronto Central,http://www.torontocentrallhin.on.ca/~/media/sites/tc/New media folder/Accountability/MOU/Toronto Central LHIN Data Inventory.xlsx?la=en
Local Health Integration Network – Waterloo Wellington,http://www.wwlhin.on.ca/~/media/sites/ww/files/accountability/opendata/LIST_2016NOV_WWLHIN_Open_Data_Posted.xlsx?la=en
Medical Eligibility Committee (Health Insurance),http://www.health.gov.on.ca/en/common/open/agency_governance/open_data.aspx
Metropolitan Toronto Convention Centre Corporation,http://www.mtccc.com/wp-content/uploads/2016/10/Open_Dataset_Inventory.pdf
Nawiinginokiima Forest Management Corporation,http://nfmcforestry.ca/wp-content/uploads/2016/05/2016-NFMC-Data-Inventory-final.pdf
Niagara Escarpment Commission,http://www.escarpment.org/NiagaraEscarpment/OneMonitoring/ForestReInventory
Niagara Parks Commission,https://www.niagaraparks.com/files/Open-Dataset-list-inventory_TBS-approved-NPC.csv
